age;job;marital;education;default;balance;housing;loan;poutcome;y
53;retired;married;tertiary;no;2269;no;no;success;yes
41;blue-collar;married;secondary;no;271;yes;no;failure;no
57;technician;married;secondary;no;1158;no;no;other;no
48;management;divorced;tertiary;no;-478;yes;no;failure;no
54;management;married;tertiary;no;3795;yes;yes;failure;no
55;entrepreneur;married;secondary;no;653;yes;no;failure;no
38;technician;single;secondary;no;1255;yes;no;failure;no
50;technician;divorced;secondary;no;-403;no;yes;failure;no
42;unemployed;married;primary;no;2636;no;no;failure;no
40;housemaid;married;secondary;no;1029;yes;yes;failure;no
38;admin.;married;secondary;no;0;no;no;other;no
57;management;married;secondary;no;1502;no;no;failure;no
30;technician;single;secondary;no;426;yes;no;failure;no
56;management;single;secondary;no;237;yes;no;failure;no
39;technician;married;secondary;no;8;no;yes;failure;no
43;services;divorced;secondary;no;1043;yes;no;failure;no
42;services;married;secondary;no;1027;yes;no;failure;no
44;management;married;tertiary;no;724;yes;no;failure;no
36;blue-collar;married;secondary;no;0;yes;no;failure;no
40;unemployed;married;secondary;no;219;yes;no;failure;no
43;management;married;tertiary;no;2767;yes;no;failure;no
40;technician;married;secondary;no;1269;yes;no;failure;no
56;services;married;secondary;no;1150;no;yes;failure;no
56;management;single;tertiary;no;1092;yes;yes;failure;no
37;management;married;secondary;no;121;no;yes;failure;no
58;blue-collar;divorced;secondary;no;644;no;yes;failure;no
45;entrepreneur;married;secondary;no;781;no;yes;failure;yes
50;technician;married;secondary;no;0;yes;no;failure;no
46;admin.;married;secondary;no;4958;yes;no;other;no
44;technician;divorced;secondary;no;106;yes;no;failure;no
35;services;divorced;secondary;no;204;yes;no;other;no
40;blue-collar;married;secondary;no;755;no;no;failure;no
43;technician;married;tertiary;no;1201;yes;yes;failure;no
40;self-employed;married;tertiary;no;3059;yes;yes;failure;no
36;housemaid;married;primary;no;4324;yes;no;failure;no
44;management;married;tertiary;no;756;yes;no;failure;no
37;blue-collar;married;secondary;no;723;yes;no;failure;no
37;technician;married;secondary;no;195;yes;no;failure;no
41;technician;married;secondary;no;3275;yes;no;other;no
42;entrepreneur;married;tertiary;no;2249;yes;no;failure;no
53;technician;married;secondary;no;137;no;yes;failure;no
41;admin.;married;secondary;no;4320;yes;no;failure;no
41;blue-collar;married;primary;no;1461;yes;no;success;no
48;management;married;secondary;no;4415;yes;no;failure;no
56;technician;married;secondary;no;589;yes;no;success;no
34;blue-collar;married;secondary;no;559;yes;no;other;no
39;admin.;single;tertiary;no;283;yes;no;other;no
36;technician;married;secondary;no;154;yes;no;other;no
47;management;divorced;tertiary;no;428;yes;no;other;no
42;admin.;single;secondary;no;-247;yes;yes;success;no
37;technician;married;secondary;no;0;yes;no;failure;no
33;technician;single;secondary;no;1769;yes;no;failure;no
46;management;married;tertiary;no;4301;yes;yes;failure;no
46;technician;married;secondary;no;68;yes;yes;failure;no
36;admin.;divorced;secondary;no;454;yes;no;failure;no
32;blue-collar;single;secondary;no;53;yes;no;failure;no
38;management;single;tertiary;no;1515;yes;no;failure;no
37;housemaid;single;tertiary;no;561;no;no;failure;no
59;entrepreneur;married;secondary;no;2429;no;yes;failure;no
40;services;divorced;secondary;no;1155;no;yes;failure;no
59;blue-collar;married;primary;no;14;yes;yes;failure;no
36;management;single;tertiary;no;0;no;yes;failure;no
51;blue-collar;married;primary;no;1194;yes;no;failure;no
45;blue-collar;single;secondary;no;91;no;yes;failure;no
38;management;single;tertiary;no;427;yes;no;failure;no
42;blue-collar;married;secondary;no;1958;yes;no;failure;no
30;technician;single;tertiary;no;3;yes;no;failure;no
51;self-employed;married;tertiary;no;146;no;no;failure;no
37;management;married;tertiary;no;3770;yes;no;failure;no
41;services;married;secondary;no;446;yes;no;success;no
33;admin.;divorced;secondary;no;661;yes;no;other;no
30;technician;single;secondary;no;4787;yes;no;failure;no
36;technician;married;secondary;no;1345;yes;no;failure;no
58;management;married;tertiary;no;0;yes;no;failure;no
42;blue-collar;married;primary;no;2273;yes;no;failure;no
41;blue-collar;married;secondary;no;1100;yes;no;failure;no
43;technician;married;secondary;no;764;yes;no;failure;no
34;management;single;tertiary;no;1494;yes;no;other;yes
48;services;married;secondary;no;2877;yes;no;failure;no
30;technician;single;secondary;yes;-305;no;yes;failure;no
31;technician;married;tertiary;no;26;no;yes;other;yes
43;technician;single;secondary;yes;685;yes;no;failure;no
34;admin.;single;secondary;no;10;no;yes;failure;no
35;management;married;tertiary;no;1041;no;no;other;no
36;admin.;single;secondary;no;1927;yes;no;other;no
44;management;married;primary;no;1880;yes;no;failure;no
36;management;married;tertiary;no;0;yes;no;failure;no
33;blue-collar;married;secondary;no;596;yes;no;failure;no
47;admin.;married;secondary;no;829;yes;yes;failure;no
47;blue-collar;married;secondary;no;3237;yes;no;failure;no
35;technician;married;secondary;no;222;yes;no;failure;no
39;admin.;married;secondary;no;3732;yes;no;failure;no
39;self-employed;married;tertiary;no;585;yes;no;failure;no
31;services;single;secondary;no;2038;yes;no;failure;no
37;unemployed;single;tertiary;no;1316;yes;no;failure;no
50;technician;married;secondary;no;-353;yes;yes;failure;no
56;admin.;divorced;secondary;no;0;no;no;failure;no
30;admin.;divorced;secondary;no;83;yes;yes;failure;no
45;blue-collar;married;primary;no;147;yes;no;failure;no
33;blue-collar;married;secondary;no;157;yes;no;failure;no
45;technician;married;secondary;no;3395;yes;no;failure;no
39;housemaid;married;primary;no;694;yes;yes;other;no
37;blue-collar;single;secondary;no;690;yes;no;failure;no
37;services;single;secondary;no;54;yes;no;failure;no
33;technician;single;tertiary;no;179;yes;no;other;no
40;services;single;secondary;no;326;yes;no;failure;no
45;technician;married;secondary;no;1441;yes;no;other;no
39;technician;married;secondary;no;484;no;yes;other;no
38;blue-collar;married;secondary;no;-288;yes;yes;failure;no
41;technician;married;secondary;no;2123;no;no;failure;no
44;technician;married;secondary;no;1901;no;no;failure;no
41;blue-collar;married;secondary;no;1954;no;no;success;no
45;management;single;tertiary;no;16;no;no;failure;no
45;blue-collar;married;secondary;no;1678;yes;no;failure;no
52;admin.;divorced;secondary;no;2717;no;no;failure;no
43;entrepreneur;single;primary;no;103;yes;no;failure;no
37;management;single;tertiary;no;1743;yes;no;failure;no
48;blue-collar;married;primary;no;1092;no;yes;failure;no
35;management;married;tertiary;no;4943;yes;no;failure;no
42;management;married;tertiary;no;2110;no;yes;failure;no
34;management;married;tertiary;no;63;no;no;failure;no
32;blue-collar;single;secondary;no;118;yes;no;success;no
50;self-employed;single;tertiary;no;21;yes;no;failure;no
30;management;married;tertiary;no;900;no;no;failure;no
32;admin.;married;secondary;no;1785;yes;no;other;no
55;services;married;secondary;no;3546;yes;yes;failure;no
32;management;married;tertiary;no;1667;yes;no;failure;no
32;services;single;secondary;no;2251;yes;yes;failure;no
31;admin.;single;secondary;no;2076;no;yes;other;no
46;blue-collar;single;primary;no;3046;yes;yes;other;no
44;technician;married;secondary;no;533;yes;no;failure;no
36;blue-collar;married;secondary;no;2894;yes;no;failure;no
34;management;married;tertiary;no;11;yes;no;failure;no
32;management;married;tertiary;no;3107;yes;yes;failure;no
48;blue-collar;married;secondary;no;3008;yes;yes;failure;no
48;management;single;tertiary;no;648;yes;no;failure;no
39;services;married;secondary;no;173;yes;no;failure;no
47;admin.;single;secondary;no;19;yes;yes;failure;no
52;blue-collar;married;tertiary;no;297;yes;no;failure;no
59;technician;divorced;secondary;no;797;yes;no;failure;no
36;services;single;secondary;no;1482;yes;no;other;no
38;entrepreneur;married;tertiary;no;678;no;yes;failure;no
54;blue-collar;married;secondary;no;506;yes;no;failure;no
51;management;married;tertiary;no;-516;yes;no;failure;no
44;management;single;tertiary;no;1356;no;yes;other;no
47;blue-collar;married;primary;no;1533;no;yes;failure;no
34;blue-collar;married;primary;no;500;yes;no;failure;no
54;admin.;married;secondary;no;3729;no;yes;other;no
30;blue-collar;married;secondary;no;246;yes;no;failure;no
43;management;single;tertiary;no;-56;yes;no;failure;no
52;services;married;secondary;no;2257;yes;no;failure;no
36;blue-collar;married;secondary;no;402;no;yes;failure;no
39;management;married;secondary;no;517;yes;no;failure;no
32;management;single;tertiary;no;0;yes;no;other;no
46;management;married;tertiary;no;0;no;no;other;yes
54;self-employed;married;tertiary;no;368;no;no;failure;no
41;entrepreneur;married;secondary;no;-1882;yes;no;other;no
36;entrepreneur;single;secondary;no;296;no;no;failure;no
38;technician;married;secondary;no;508;yes;no;failure;no
36;technician;single;primary;no;2169;yes;no;other;no
44;technician;married;secondary;no;2626;yes;no;failure;no
59;entrepreneur;married;primary;no;124;yes;no;failure;no
36;management;married;tertiary;no;521;no;yes;other;no
40;admin.;single;secondary;no;2854;yes;no;failure;no
30;services;divorced;secondary;no;0;yes;yes;failure;no
34;blue-collar;married;secondary;no;932;no;yes;other;no
42;management;single;tertiary;no;1113;yes;yes;failure;no
33;management;married;tertiary;no;1522;yes;no;failure;no
44;services;married;secondary;no;-236;yes;no;success;no
36;self-employed;single;tertiary;no;3560;no;no;failure;no
42;blue-collar;divorced;secondary;no;898;yes;no;failure;no
36;technician;divorced;secondary;no;556;yes;no;failure;no
53;self-employed;married;secondary;no;1066;yes;no;failure;no
38;technician;married;secondary;no;728;yes;no;other;no
30;technician;single;tertiary;no;0;yes;no;failure;no
45;services;married;secondary;no;1550;yes;no;failure;no
38;services;married;secondary;no;4392;no;no;failure;no
47;admin.;divorced;primary;no;1095;yes;no;other;no
33;blue-collar;married;secondary;no;328;yes;no;failure;no
41;housemaid;divorced;primary;no;22;yes;no;other;no
51;management;married;tertiary;no;1612;yes;no;failure;no
32;blue-collar;married;secondary;no;491;yes;no;failure;no
47;technician;married;secondary;no;826;yes;no;other;no
32;services;married;secondary;no;3839;yes;no;failure;no
51;management;divorced;tertiary;no;1937;yes;no;other;no
56;retired;married;secondary;no;728;no;no;failure;no
41;admin.;married;secondary;no;1327;yes;yes;failure;no
36;technician;married;secondary;no;-179;yes;no;failure;no
46;blue-collar;married;secondary;no;942;no;no;failure;no
34;blue-collar;married;secondary;no;3990;yes;no;failure;no
34;technician;single;tertiary;no;2047;yes;no;failure;no
44;blue-collar;divorced;secondary;no;-184;yes;no;other;no
30;management;married;tertiary;no;1185;yes;no;failure;no
30;admin.;single;secondary;no;2802;no;yes;failure;no
43;services;married;secondary;no;508;yes;no;failure;no
45;technician;divorced;secondary;no;-14;no;no;failure;no
30;blue-collar;married;secondary;no;1131;yes;yes;failure;no
40;admin.;divorced;secondary;no;399;yes;yes;failure;no
46;services;divorced;secondary;no;864;yes;no;failure;no
49;self-employed;married;tertiary;no;202;yes;no;other;no
31;management;single;tertiary;no;3142;yes;no;failure;no
53;retired;married;secondary;no;1139;yes;no;failure;no
48;blue-collar;married;primary;no;214;yes;yes;failure;no
34;blue-collar;married;secondary;no;1412;yes;yes;failure;no
35;technician;married;secondary;no;2019;yes;yes;failure;no
52;management;married;tertiary;no;1295;yes;no;other;no
31;management;married;tertiary;no;1164;yes;yes;failure;no
36;management;married;tertiary;no;369;no;no;failure;no
45;blue-collar;married;secondary;no;17;yes;no;failure;no
31;admin.;married;secondary;no;355;yes;no;failure;no
35;services;married;secondary;no;66;yes;no;other;no
51;self-employed;married;primary;no;106;yes;no;failure;no
56;retired;married;tertiary;no;839;no;yes;other;no
43;management;married;secondary;no;481;yes;no;other;no
30;technician;married;secondary;no;-306;yes;yes;failure;no
44;services;married;secondary;no;1106;yes;no;failure;no
41;entrepreneur;married;tertiary;no;171;yes;no;failure;no
55;blue-collar;divorced;secondary;no;4053;no;no;failure;no
32;admin.;single;tertiary;no;1583;yes;no;failure;no
42;services;married;tertiary;no;412;yes;no;failure;no
30;management;married;tertiary;no;314;no;no;success;no
39;management;single;secondary;no;4278;yes;no;other;no
32;services;divorced;secondary;no;1156;yes;no;failure;no
39;management;single;tertiary;no;1682;yes;no;failure;no
31;management;single;tertiary;no;3625;yes;no;failure;no
32;blue-collar;single;secondary;no;1721;yes;no;failure;no
45;management;married;secondary;no;38;yes;no;failure;no
33;management;single;tertiary;no;541;yes;yes;failure;no
30;management;single;tertiary;no;54;yes;yes;failure;no
31;management;married;tertiary;no;4924;yes;no;failure;no
33;management;married;tertiary;no;3696;no;no;failure;no
48;unemployed;married;secondary;no;1811;yes;no;failure;no
33;management;married;tertiary;no;0;yes;no;failure;no
31;blue-collar;single;secondary;no;-366;yes;no;other;no
32;blue-collar;married;secondary;no;2089;yes;no;success;no
52;retired;married;secondary;no;424;no;no;failure;no
31;technician;single;secondary;no;1186;yes;no;failure;no
35;management;married;tertiary;no;2801;yes;no;failure;no
32;management;single;tertiary;no;2667;yes;no;success;no
30;admin.;single;secondary;no;382;yes;no;failure;no
31;blue-collar;married;primary;no;4728;yes;no;other;no
32;entrepreneur;married;tertiary;no;964;yes;no;failure;no
36;self-employed;married;secondary;no;189;yes;no;failure;no
40;services;married;secondary;no;961;no;yes;other;no
52;self-employed;married;secondary;no;-201;no;yes;failure;no
45;management;divorced;secondary;no;644;yes;no;success;yes
37;services;single;secondary;no;50;no;no;other;no
36;admin.;single;tertiary;no;649;no;no;other;no
35;management;divorced;tertiary;no;771;yes;yes;failure;no
30;management;married;tertiary;no;86;yes;yes;other;no
39;technician;married;secondary;no;3494;yes;no;failure;no
37;self-employed;married;tertiary;no;804;yes;no;other;no
30;blue-collar;divorced;secondary;no;4591;yes;no;other;no
34;blue-collar;married;secondary;no;360;yes;no;failure;no
33;technician;married;secondary;no;1234;no;no;failure;no
45;technician;divorced;secondary;no;1309;yes;no;failure;no
30;management;single;tertiary;no;234;yes;no;failure;no
32;unemployed;single;tertiary;no;1611;yes;no;failure;no
31;blue-collar;married;secondary;no;1570;yes;yes;other;no
40;self-employed;married;tertiary;no;2977;yes;no;failure;no
46;blue-collar;married;secondary;no;15;yes;yes;failure;no
30;blue-collar;single;secondary;yes;447;no;no;failure;no
34;blue-collar;married;primary;no;2490;yes;no;failure;no
46;self-employed;married;tertiary;no;2421;no;no;failure;yes
40;blue-collar;married;primary;no;4608;yes;no;failure;no
53;retired;married;tertiary;no;1452;no;yes;failure;no
46;technician;divorced;secondary;no;-26;yes;yes;other;no
38;technician;married;secondary;no;4030;yes;no;failure;no
43;management;married;tertiary;no;1429;yes;no;other;yes
32;technician;divorced;secondary;no;18;no;no;failure;no
40;student;married;secondary;no;260;no;no;failure;no
35;self-employed;single;tertiary;no;538;yes;yes;failure;no
32;technician;married;secondary;no;524;no;no;failure;no
33;self-employed;married;tertiary;no;-103;yes;no;failure;no
33;management;single;tertiary;no;201;yes;no;failure;no
39;housemaid;married;secondary;no;1444;no;no;success;no
44;services;married;primary;no;1161;yes;no;failure;no
59;housemaid;married;primary;no;935;yes;no;failure;no
45;management;single;secondary;no;142;no;yes;failure;no
37;blue-collar;married;secondary;no;1165;yes;no;success;no
33;technician;single;tertiary;no;149;yes;no;other;yes
42;self-employed;married;secondary;no;3211;no;no;failure;no
50;technician;married;secondary;no;3149;yes;no;other;no
41;housemaid;single;secondary;no;2184;no;no;failure;no
40;unemployed;married;secondary;no;0;yes;no;failure;no
44;technician;single;secondary;no;1195;yes;no;failure;no
58;blue-collar;married;primary;no;630;yes;no;failure;no
43;management;married;tertiary;no;1993;no;no;failure;no
58;blue-collar;married;secondary;no;590;no;yes;failure;no
51;blue-collar;married;primary;no;863;no;no;other;no
54;self-employed;divorced;tertiary;no;1323;no;no;failure;no
41;blue-collar;married;secondary;no;1011;yes;no;other;no
53;technician;married;secondary;no;2818;yes;no;failure;no
50;blue-collar;divorced;secondary;no;203;yes;no;other;no
48;blue-collar;married;secondary;no;-202;yes;yes;failure;no
33;entrepreneur;married;secondary;no;2;yes;yes;failure;no
44;services;divorced;tertiary;no;2279;no;yes;failure;no
52;blue-collar;divorced;primary;no;3990;no;no;other;no
47;admin.;divorced;secondary;no;1939;yes;no;failure;no
39;management;married;secondary;no;763;no;no;other;no
32;technician;married;tertiary;no;432;yes;no;other;no
45;blue-collar;married;secondary;no;2926;yes;yes;failure;no
42;management;married;tertiary;no;783;yes;no;failure;no
30;blue-collar;married;primary;no;1101;yes;yes;failure;no
59;retired;married;secondary;no;2291;no;yes;failure;no
40;technician;married;secondary;no;657;yes;no;failure;no
37;blue-collar;married;primary;no;253;yes;no;failure;no
55;retired;married;secondary;no;3948;no;no;failure;no
46;unemployed;divorced;secondary;no;3354;yes;no;success;yes
45;self-employed;married;secondary;no;830;no;no;failure;no
33;self-employed;single;secondary;no;4;yes;no;failure;no
47;unemployed;married;secondary;no;351;yes;yes;failure;no
35;blue-collar;married;secondary;no;86;no;no;failure;no
40;blue-collar;married;secondary;no;4853;no;no;failure;no
38;technician;single;secondary;no;884;yes;yes;failure;no
59;retired;married;primary;no;741;no;no;failure;no
34;housemaid;married;tertiary;no;4958;yes;no;failure;no
46;entrepreneur;single;tertiary;no;1410;yes;no;failure;no
38;blue-collar;married;primary;no;190;yes;no;other;yes
52;self-employed;divorced;secondary;no;1291;yes;no;failure;no
30;entrepreneur;married;secondary;no;946;yes;no;other;no
35;admin.;married;secondary;no;3187;yes;no;failure;no
59;management;married;primary;no;2769;yes;no;failure;no
33;blue-collar;married;primary;no;3512;yes;no;failure;no
56;services;married;primary;no;444;yes;no;failure;no
40;admin.;married;secondary;no;67;no;yes;failure;no
37;blue-collar;married;primary;no;3574;yes;no;failure;no
36;admin.;single;tertiary;no;2622;no;no;failure;no
50;management;married;secondary;no;2910;no;no;failure;no
38;blue-collar;married;primary;no;2240;yes;no;failure;no
55;unemployed;married;secondary;no;4733;yes;no;other;no
34;admin.;married;tertiary;no;899;yes;no;success;no
50;admin.;married;secondary;no;167;no;yes;failure;no
56;admin.;divorced;secondary;no;-429;no;yes;failure;no
40;blue-collar;married;secondary;no;1708;yes;no;other;no
34;management;married;tertiary;no;1006;yes;no;other;yes
53;blue-collar;single;secondary;no;2430;yes;yes;failure;no
46;technician;divorced;secondary;no;111;yes;no;other;no
40;admin.;single;secondary;no;664;no;no;success;no
50;management;married;tertiary;no;-470;yes;no;failure;no
30;management;married;tertiary;no;2451;yes;no;failure;no
58;retired;divorced;primary;no;2538;yes;no;failure;yes
54;retired;married;secondary;no;2626;no;no;failure;no
47;blue-collar;married;secondary;no;3696;yes;no;failure;no
39;admin.;married;secondary;no;-982;yes;yes;other;no
39;management;single;tertiary;no;633;no;no;failure;no
39;blue-collar;married;secondary;no;747;yes;yes;other;no
50;blue-collar;married;tertiary;no;1784;no;no;failure;no
39;management;divorced;tertiary;no;1315;yes;no;failure;no
33;management;single;tertiary;no;923;yes;no;failure;no
59;entrepreneur;married;primary;no;0;no;no;failure;no
53;management;married;tertiary;no;2578;no;no;failure;no
37;management;married;secondary;no;510;yes;no;failure;no
54;self-employed;married;primary;no;277;yes;no;failure;no
42;blue-collar;married;primary;no;792;yes;yes;other;no
39;management;divorced;tertiary;no;4692;yes;no;success;no
39;housemaid;married;secondary;no;4136;yes;no;failure;no
31;services;married;secondary;no;395;no;no;failure;no
33;management;married;tertiary;no;621;no;no;failure;no
49;blue-collar;married;secondary;no;4259;no;no;failure;no
40;management;married;tertiary;no;3352;yes;no;success;yes
37;housemaid;divorced;secondary;no;226;no;yes;other;no
35;management;married;tertiary;no;552;yes;yes;failure;no
35;services;married;primary;no;31;no;yes;failure;no
46;self-employed;divorced;tertiary;no;926;yes;no;other;no
45;entrepreneur;married;tertiary;no;3689;yes;no;failure;no
44;blue-collar;single;primary;no;1593;yes;no;success;no
58;blue-collar;married;secondary;no;1507;yes;yes;other;no
53;entrepreneur;married;primary;no;1034;yes;no;other;no
55;entrepreneur;married;tertiary;no;625;no;no;failure;no
38;entrepreneur;married;tertiary;no;898;yes;no;failure;no
35;management;married;tertiary;no;867;yes;no;success;no
31;management;married;tertiary;no;1224;yes;yes;success;no
44;technician;married;tertiary;no;0;yes;yes;failure;no
30;technician;divorced;secondary;no;3100;yes;no;failure;no
32;technician;married;secondary;no;344;yes;no;failure;no
35;management;divorced;tertiary;no;146;no;no;success;no
32;technician;married;tertiary;no;4654;yes;yes;failure;yes
34;admin.;single;secondary;no;296;no;no;failure;no
34;management;single;tertiary;no;673;yes;yes;failure;no
30;management;married;tertiary;no;196;no;no;other;no
41;blue-collar;married;primary;no;2562;yes;no;failure;no
41;management;single;tertiary;no;195;no;no;failure;no
34;entrepreneur;married;secondary;no;3119;yes;no;failure;no
35;self-employed;single;tertiary;no;935;yes;no;failure;no
34;admin.;married;secondary;no;3185;yes;no;failure;no
46;blue-collar;married;primary;no;2558;yes;no;other;no
31;services;single;secondary;no;481;yes;no;failure;no
39;blue-collar;married;secondary;no;660;yes;yes;failure;no
52;management;married;primary;yes;57;yes;yes;failure;no
42;blue-collar;married;secondary;no;3;yes;no;failure;no
40;technician;single;secondary;no;572;no;no;failure;no
33;technician;married;secondary;no;3071;yes;yes;failure;no
32;blue-collar;married;primary;no;187;no;no;failure;no
32;blue-collar;married;primary;no;2085;yes;yes;failure;no
39;technician;single;secondary;no;1104;no;no;success;no
39;services;divorced;secondary;no;892;yes;no;failure;no
45;management;married;tertiary;no;96;yes;no;failure;no
32;management;single;tertiary;no;574;yes;no;failure;no
50;management;married;secondary;no;0;yes;no;failure;no
47;technician;married;secondary;no;1465;yes;no;failure;no
30;services;married;secondary;no;586;yes;no;failure;no
32;blue-collar;married;secondary;no;0;yes;no;other;no
37;entrepreneur;married;tertiary;no;264;yes;yes;failure;no
30;blue-collar;married;secondary;no;501;yes;yes;failure;yes
38;self-employed;married;secondary;no;215;yes;no;failure;no
48;services;divorced;secondary;no;4906;yes;no;failure;no
31;services;single;secondary;no;900;yes;no;other;no
38;blue-collar;married;primary;no;433;no;no;failure;no
34;services;divorced;secondary;no;797;yes;no;failure;no
31;technician;married;secondary;no;450;no;yes;failure;no
39;blue-collar;single;secondary;no;519;yes;yes;failure;no
31;entrepreneur;married;secondary;no;1539;yes;yes;failure;no
52;entrepreneur;married;tertiary;no;1115;yes;no;failure;no
30;services;married;primary;no;1015;yes;no;failure;no
50;self-employed;married;secondary;no;1878;yes;yes;failure;no
41;blue-collar;single;secondary;no;98;no;yes;failure;no
46;technician;married;tertiary;no;0;no;no;failure;yes
