genre,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
R&B,67,0.0703,0.733,209160,0.65,6.59E-5,F,0.0829,-3.539,Major,0.0315,110.003,4/4,0.348
R&B,65,0.705,0.259,267200,0.536,5.01E-4,G#,0.432,-10.309,Major,0.0367,143.948,4/4,0.29
R&B,65,0.00616,0.752,176414,0.883,0.0998,F,0.167,-4.45,Minor,0.0426,122.026,4/4,0.509
R&B,70,0.41,0.721,213750,0.881,7.61E-6,G#,0.292,-2.528,Major,0.342,127.759,4/4,0.643
R&B,72,0.323,0.637,218947,0.73,0,F,0.0981,-5.38,Minor,0.0874,93.867,4/4,0.732
R&B,66,0.426,0.612,164453,0.548,0,C,0.502,-6.71,Major,0.0351,84.991,4/4,0.617
R&B,68,0.0193,0.811,268533,0.458,1.41E-6,F,0.0526,-9.688,Minor,0.0402,92.94,4/4,0.797
R&B,67,0.0727,0.344,212880,0.537,1.27E-4,G#,0.225,-8.215,Minor,0.079,82.878,5/4,0.453
R&B,64,0.107,0.577,192984,0.516,0,A,0.325,-7.616,Major,0.259,118.364,4/4,0.343
R&B,68,0.46,0.513,186893,0.496,0,B,0.106,-6.049,Major,0.0511,113.072,4/4,0.676
R&B,67,0.244,0.621,278515,0.777,0,G#,0.449,-4.75,Minor,0.151,138.007,4/4,0.526
R&B,68,0.153,0.741,220964,0.58,0,C,0.109,-7.741,Major,0.378,97.092,4/4,0.428
R&B,62,0.401,0.684,228966,0.512,0,B,0.1,-7.232,Minor,0.0401,127.908,4/4,0.354
R&B,62,0.552,0.735,232707,0.567,0,C,0.0659,-5.962,Major,0.0635,149.968,4/4,0.574
R&B,57,0.0332,0.716,222004,0.597,0,F#,0.163,-7.774,Minor,0.0547,140.03,4/4,0.306
R&B,63,0.591,0.502,212973,0.409,0,C,0.113,-7.581,Major,0.0512,75.231,4/4,0.234
R&B,67,0.391,0.785,357357,0.379,0.0161,G,0.267,-11.446,Major,0.0732,122.043,3/4,0.182
R&B,70,0.198,0.781,269493,0.745,1.14E-5,E,0.36,-5.81,Minor,0.0332,129.998,4/4,0.326
R&B,70,0.53,0.679,264200,0.44,5.15E-6,F,0.228,-9.313,Major,0.351,109.959,4/4,0.0336
R&B,62,0.512,0.674,230625,0.616,2.1E-6,G,0.331,-3.471,Major,0.0272,94.934,4/4,0.551
R&B,65,0.366,0.678,243133,0.414,3.78E-6,A,0.0885,-10.144,Minor,0.0498,130.031,4/4,0.355
R&B,64,0.203,0.666,243920,0.87,0,B,0.0851,-5.004,Minor,0.246,160.014,4/4,0.9
R&B,63,0.00548,0.784,118393,0.554,0.254,G,0.0995,-6.417,Major,0.03,104.01,4/4,0.634
R&B,62,0.0729,0.605,208280,0.446,0,E,0.149,-8.244,Major,0.028,94.044,4/4,0.685
R&B,59,0.0761,0.738,293345,0.519,0,G,0.092,-5.403,Minor,0.185,96.061,4/4,0.61
R&B,68,0.305,0.539,199627,0.886,0,B,0.0955,-4.332,Minor,0.493,109.016,5/4,0.562
R&B,67,0.682,0.671,197653,0.428,2.0E-4,E,0.121,-7.054,Minor,0.124,148.041,4/4,0.36
R&B,61,0.313,0.794,188987,0.448,0.0184,F#,0.128,-7.401,Minor,0.148,149.975,4/4,0.429
R&B,57,0.0227,0.769,242250,0.558,0,C#,0.0803,-6.526,Major,0.344,179.993,3/4,0.771
R&B,61,0.0101,0.595,202943,0.695,0,G,0.157,-4.634,Major,0.306,139.037,5/4,0.401
R&B,60,0.575,0.385,291098,0.473,2.88E-5,G#,0.13,-8.656,Minor,0.0519,143.614,3/4,0.0575
R&B,64,0.0163,0.71,248467,0.578,0,B,0.246,-5.84,Minor,0.0604,125.969,4/4,0.512
R&B,67,0.64,0.536,211567,0.426,5.88E-6,G,0.147,-10.446,Major,0.123,135.872,4/4,0.375
R&B,70,0.15,0.866,249800,0.749,0,D,0.0591,-3.977,Major,0.253,92.077,4/4,0.891
R&B,60,0.865,0.535,205973,0.395,1.78E-5,B,0.0996,-11.887,Minor,0.0614,102.206,5/4,0.147
R&B,65,0.611,0.512,213253,0.598,0,A,0.0881,-4.959,Minor,0.115,70.189,4/4,0.345
R&B,62,0.447,0.789,181267,0.435,0,C#,0.135,-7.042,Minor,0.0599,72.973,3/4,0.456
R&B,65,0.181,0.741,209423,0.726,1.89E-4,D#,0.111,-3.77,Minor,0.143,163.991,4/4,0.527
R&B,67,0.0053,0.808,172427,0.581,1.19E-5,B,0.0828,-5.43,Major,0.07,130.012,4/4,0.758
R&B,69,0.0253,0.598,202661,0.496,0.00132,C,0.12,-9.309,Major,0.0804,128.06,4/4,0.725
R&B,71,0.0983,0.596,216689,0.557,0,C#,0.0565,-7.522,Minor,0.134,133.247,5/4,0.661
R&B,68,0.0431,0.853,220173,0.663,8.65E-6,G,0.0891,-6.955,Minor,0.0755,113.999,4/4,0.864
R&B,66,0.0234,0.876,232000,0.71,1.61E-4,B,0.0573,-6.446,Minor,0.0446,121.072,4/4,0.828
R&B,70,0.023,0.689,210573,0.791,0,C,0.0526,-5.194,Minor,0.053,95.04,4/4,0.755
R&B,69,0.004,0.677,238920,0.671,5.07E-5,G,0.413,-4.905,Major,0.0361,137.046,4/4,0.527
R&B,63,0.128,0.442,215747,0.83,0,A,0.129,-4.02,Major,0.146,89.338,4/4,0.578
R&B,70,0.0104,0.549,227293,0.791,0,A#,0.444,-3.535,Major,0.133,150.094,4/4,0.293
R&B,66,0.0978,0.583,197720,0.435,0,F,0.0763,-6.389,Minor,0.0478,128.035,3/4,0.129
R&B,65,0.0895,0.488,221736,0.62,3.03E-5,C,0.122,-7.399,Minor,0.123,111.996,4/4,0.378
R&B,61,0.0523,0.849,237653,0.521,0,E,0.277,-6.386,Major,0.0662,102.011,4/4,0.613
R&B,67,0.215,0.684,216893,0.455,1.08E-6,F,0.263,-8.216,Major,0.0307,97.956,4/4,0.487
R&B,70,0.31,0.596,232573,0.661,0,F,0.0847,-6.239,Minor,0.226,129.491,5/4,0.86
R&B,56,0.0236,0.705,273810,0.584,0,C,0.176,-6.397,Major,0.396,71.666,3/4,0.35
R&B,62,0.619,0.733,212670,0.508,0.00452,F,0.0491,-7.962,Major,0.461,104.62,4/4,0.867
R&B,67,0.0167,0.656,268947,0.564,1.39E-6,C#,0.165,-8.925,Minor,0.0883,150.014,4/4,0.25
R&B,61,0.261,0.749,302001,0.399,0.0126,G#,0.0949,-7.526,Major,0.0393,89.972,4/4,0.816
R&B,67,0.104,0.691,226963,0.75,0,A#,0.123,-3.934,Minor,0.347,143.744,4/4,0.345
R&B,63,0.465,0.759,201334,0.404,0.00131,A#,0.0841,-11.802,Minor,0.0491,77.984,4/4,0.581
R&B,63,0.121,0.803,171968,0.485,0,C#,0.092,-6.491,Major,0.0365,127.01,4/4,0.422
R&B,66,0.571,0.717,187537,0.599,8.99E-6,B,0.102,-6.156,Major,0.115,159.78,4/4,0.385
R&B,61,0.852,0.362,215160,0.443,1.32E-4,D#,0.138,-6.351,Major,0.0663,54.924,4/4,0.415
R&B,62,0.0353,0.835,174093,0.511,1.19E-6,F,0.11,-4.431,Minor,0.0719,136.021,4/4,0.0792
R&B,63,0.00888,0.858,216520,0.398,0,C#,0.112,-11.306,Major,0.0598,97.476,4/4,0.258
R&B,65,0.723,0.557,197600,0.278,2.24E-5,G#,0.0755,-12.353,Major,0.0427,147.681,4/4,0.335
R&B,65,0.261,0.889,187061,0.451,0,A#,0.0465,-7.77,Minor,0.0662,104.043,4/4,0.635
R&B,61,0.362,0.705,213293,0.513,0.0559,E,0.08,-7.054,Major,0.2,168.056,4/4,0.649
R&B,74,0.00778,0.576,224031,0.782,0,F#,0.285,-4.825,Minor,0.0296,141.153,4/4,0.355
R&B,66,0.308,0.665,212147,0.787,0,F,0.219,-5.73,Major,0.151,167.349,4/4,0.699
R&B,64,0.558,0.737,177063,0.429,0,E,0.142,-8.261,Major,0.0665,105.059,4/4,0.44
R&B,61,0.672,0.63,272143,0.501,0.00131,A,0.237,-8.714,Minor,0.0394,111.932,4/4,0.192
R&B,60,0.092,0.912,233680,0.533,1.48E-6,C#,0.174,-5.587,Major,0.0618,119.922,4/4,0.208
R&B,63,0.0379,0.663,186307,0.693,0,G,0.162,-5.776,Minor,0.0635,120.026,4/4,0.391
R&B,55,0.0076,0.647,157390,0.484,0,A,0.438,-10.316,Major,0.301,85.366,4/4,0.154
R&B,64,0.38,0.655,181144,0.597,0,C,0.11,-7.269,Minor,0.0912,110.01,4/4,0.219
R&B,64,0.0658,0.805,196133,0.702,0,C#,0.123,-4.877,Major,0.0887,120.041,4/4,0.225
R&B,65,0.849,0.649,246400,0.468,0.00706,D,0.106,-10.951,Major,0.0447,92.489,4/4,0.618
R&B,61,0.856,0.531,197333,0.352,9.73E-6,A,0.0871,-10.404,Minor,0.315,84.475,4/4,0.537
R&B,61,0.725,0.324,172240,0.493,1.11E-4,D#,0.116,-9.995,Minor,0.0723,86.126,5/4,0.212
R&B,55,0.186,0.514,161239,0.613,0,E,0.284,-6.506,Major,0.212,111.913,5/4,0.439
R&B,62,0.748,0.688,144000,0.425,0.00548,E,0.101,-8.134,Minor,0.027,129.975,4/4,0.179
R&B,67,0.064,0.599,198653,0.635,0,C#,0.0878,-8.101,Major,0.0679,109.919,4/4,0.194
R&B,65,0.0308,0.684,214254,0.526,0,C#,0.306,-4.982,Minor,0.0335,91.812,4/4,0.495
R&B,60,0.161,0.506,169756,0.807,0,G#,0.114,-3.96,Major,0.249,163.239,4/4,0.394
R&B,68,0.591,0.488,210293,0.762,0,G#,0.0763,-3.842,Major,0.0865,123.889,4/4,0.709
R&B,66,0.0322,0.616,377467,0.78,0,D,0.173,-6.062,Major,0.0623,110.005,4/4,0.471
R&B,66,0.236,0.643,205347,0.695,0,F#,0.145,-3.099,Major,0.0463,123.026,4/4,0.65
R&B,60,0.228,0.558,271813,0.522,0,D,0.104,-5.857,Major,0.036,83.977,4/4,0.228
R&B,62,0.472,0.631,179293,0.319,0,C,0.303,-13.056,Minor,0.315,80.048,4/4,0.345
R&B,67,0.182,0.828,233360,0.792,0,A#,0.281,-5.435,Minor,0.179,134.199,4/4,0.777
R&B,71,0.0358,0.596,204013,0.851,3.19E-5,F,0.365,-4.245,Minor,0.121,202.049,4/4,0.612
R&B,62,0.0339,0.712,196755,0.846,3.84E-4,E,0.106,-6.714,Minor,0.0538,120.016,4/4,0.573
R&B,64,0.00541,0.538,214200,0.677,0,C,0.236,-6.099,Major,0.187,132.346,5/4,0.913
R&B,63,0.176,0.618,242773,0.552,0,G#,0.252,-6.863,Major,0.0981,81.975,4/4,0.586
R&B,68,0.265,0.622,220853,0.503,4.73E-4,G#,0.0596,-6.417,Major,0.0433,93.984,4/4,0.58
R&B,65,0.364,0.71,195867,0.572,0,A#,0.129,-7.187,Minor,0.0616,140.052,4/4,0.642
R&B,66,0.277,0.516,218627,0.484,0,A,0.129,-5.844,Major,0.0659,113.134,4/4,0.174
R&B,63,0.00648,0.577,251893,0.625,0,D,0.364,-8.346,Minor,0.0423,120.133,4/4,0.184
R&B,53,5.82E-4,0.604,211861,0.577,0,G#,0.102,-7.647,Major,0.243,120.033,5/4,0.315
R&B,64,0.0716,0.71,217813,0.71,1.07E-6,C,0.206,-2.474,Major,0.0579,169.944,4/4,0.7
R&B,61,0.257,0.686,233266,0.701,0.00281,F,0.088,-5.702,Minor,0.0968,173.994,4/4,0.605
R&B,68,0.0586,0.845,211200,0.467,0,C#,0.0694,-7.674,Major,0.138,138.007,4/4,0.702
R&B,67,0.21,0.503,233601,0.581,7.08E-4,F#,0.257,-7.007,Major,0.0881,94.555,4/4,0.633
R&B,68,0.028,0.743,218460,0.793,0,F#,0.157,-3.864,Minor,0.0388,120.897,4/4,0.851
R&B,64,0.254,0.657,218253,0.497,0,C#,0.367,-7.689,Major,0.112,106.049,4/4,0.594
R&B,63,0.258,0.702,213445,0.705,5.93E-6,C,0.0879,-6.666,Major,0.0543,154.911,4/4,0.743
R&B,60,0.449,0.714,154983,0.348,0,G,0.323,-11.319,Major,0.147,117.312,4/4,0.205
R&B,62,0.855,0.688,176327,0.261,1.25E-6,A,0.137,-15.271,Minor,0.325,146.975,4/4,0.326
R&B,72,0.0646,0.867,162586,0.545,2.89E-4,D,0.0505,-5.192,Major,0.0625,139.943,4/4,0.525
R&B,61,0.112,0.527,251497,0.543,1.71E-6,E,0.355,-4.996,Minor,0.0589,106.706,4/4,0.397
R&B,60,0.717,0.649,195254,0.646,1.84E-5,B,0.0931,-6.051,Major,0.0438,117.953,4/4,0.528
R&B,71,0.0165,0.668,192200,0.718,0,C#,0.104,-4.736,Minor,0.0605,91.993,4/4,0.345
R&B,65,0.886,0.413,289600,0.349,1.95E-4,E,0.091,-10.361,Minor,0.0628,139.274,4/4,0.148
R&B,53,0.0871,0.51,147376,0.626,0,C#,0.263,-6.15,Minor,0.332,80.795,4/4,0.516
R&B,67,0.388,0.644,201422,0.601,0,A#,0.0884,-5.097,Minor,0.0496,133.946,4/4,0.518
R&B,66,0.0116,0.77,163133,0.426,0,F,0.273,-5.717,Minor,0.0473,102.056,4/4,0.523
R&B,68,0.47,0.583,226906,0.677,0.193,E,0.43,-10.21,Minor,0.439,176.119,4/4,0.495
R&B,66,0.418,0.469,321027,0.417,1.89E-4,G#,0.102,-10.614,Minor,0.0704,120.012,4/4,0.175
R&B,62,0.19,0.736,215385,0.643,0,F,0.106,-8.636,Major,0.0461,156.002,4/4,0.599
R&B,61,0.779,0.276,175453,0.358,2.5E-6,A,0.0728,-7.684,Major,0.0443,81.977,4/4,0.13
R&B,66,0.0424,0.647,201253,0.646,0,A,0.0888,-5.483,Minor,0.243,92.981,4/4,0.721
Alternative,83,0.422,0.552,180019,0.65,2.75E-4,C#,0.372,-7.199,Major,0.128,167.788,4/4,0.316
Alternative,81,0.544,0.515,209274,0.479,0.00598,D#,0.191,-7.458,Major,0.0261,88.964,4/4,0.284
Alternative,76,0.619,0.672,174358,0.588,0.241,C#,0.0992,-9.573,Major,0.133,169.033,4/4,0.204
Alternative,73,0.111,0.803,163525,0.599,0,C#,0.236,-5.169,Major,0.0985,130.107,4/4,0.484
Alternative,74,0.684,0.9,107077,0.316,0.0771,A,0.0853,-8.797,Major,0.332,129.914,4/4,0.844
Alternative,73,0.24,0.525,202391,0.774,1.07E-6,A,0.495,-4.532,Major,0.241,154.192,4/4,0.526
Alternative,78,0.0319,0.731,200373,0.861,0,B,0.0829,-5.881,Major,0.0323,104.034,4/4,0.78
Alternative,73,0.81,0.471,211227,0.411,0,C,0.135,-9.5,Major,0.295,89.484,1/4,0.363
Alternative,77,0.00836,0.818,222640,0.705,0.00233,F#,0.613,-6.679,Major,0.177,138.559,4/4,0.772
Alternative,72,2.86E-5,0.516,301920,0.906,1.01E-4,C#,0.105,-4.525,Major,0.0658,116.775,4/4,0.728
Alternative,71,0.0209,0.561,145558,0.782,0,C,0.315,-5.863,Major,0.04,94.004,4/4,0.486
Alternative,78,0.0576,0.559,264307,0.345,1.05E-4,E,0.141,-13.496,Major,0.0459,84.581,4/4,0.458
Alternative,76,0.00847,0.56,218013,0.936,0,D#,0.161,-5.835,Major,0.0439,112.96,4/4,0.371
Alternative,71,0.0754,0.677,124680,0.46,0,C,0.429,-8.175,Major,0.0312,139.982,4/4,0.677
Alternative,75,0.443,0.656,222374,0.432,0,F#,0.132,-9.481,Minor,0.217,97.022,4/4,0.0897
Alternative,72,0.71,0.646,179423,0.648,0.00316,D#,0.108,-8.602,Major,0.0372,75.004,4/4,0.466
Alternative,75,0.0495,0.612,240400,0.807,0.0177,A#,0.101,-2.81,Major,0.0336,124.053,4/4,0.398
Country,54,0.152,0.555,238600,0.726,1.78E-4,D,0.148,-8.939,Major,0.0368,107.719,4/4,0.505
Country,52,0.469,0.587,211667,0.201,2.58E-5,A#,0.119,-13.299,Major,0.0301,90.018,4/4,0.3
Country,58,0.657,0.401,211973,0.285,1.13E-5,B,0.158,-11.005,Major,0.0327,130.465,4/4,0.267
Country,51,0.00537,0.547,206013,0.779,0,G,0.14,-5.563,Major,0.0358,126.97,4/4,0.361
Country,58,0.583,0.528,183187,0.472,0,G,0.129,-10.428,Major,0.0267,134.099,3/4,0.251
Country,55,0.78,0.483,196467,0.341,0.00157,A,0.188,-9.833,Major,0.0261,87.31,3/4,0.618
Country,53,0.641,0.522,184208,0.55,0,G,0.328,-7.98,Major,0.0313,79.995,4/4,0.676
Country,56,0.0675,0.609,184653,0.489,0,C,0.101,-12.9,Major,0.0383,97.163,4/4,0.132
Country,54,0.357,0.648,172093,0.472,0,A,0.313,-13.103,Major,0.102,142.184,4/4,0.907
Country,52,0.157,0.632,263133,0.781,0.00601,F#,0.251,-11.4,Minor,0.0391,104.797,4/4,0.843
Country,51,0.00549,0.511,184868,0.813,0.00207,C,0.0969,-6.78,Major,0.0357,121.801,4/4,0.826
Country,53,0.00625,0.528,256413,0.556,0.0429,B,0.336,-5.945,Minor,0.0396,80.038,3/4,0.512
Country,51,0.0531,0.583,182800,0.833,5.57E-5,C,0.16,-8.29,Major,0.0343,119.884,4/4,0.81
Country,51,0.0562,0.342,450333,0.819,0.0338,E,0.145,-6.885,Minor,0.0524,127.102,4/4,0.537
Country,50,0.866,0.47,320520,0.22,1.07E-6,D#,0.113,-11.727,Major,0.043,156.109,3/4,0.349
Country,53,0.222,0.718,302500,0.812,1.41E-6,G,0.147,-6.977,Major,0.205,93.629,4/4,0.706
Country,50,0.306,0.43,209800,0.682,7.28E-6,C#,0.128,-10.821,Major,0.0467,168.968,4/4,0.963
Country,50,0.713,0.591,269680,0.411,0,A,0.115,-7.496,Major,0.0299,153.616,4/4,0.454
Country,50,0.912,0.389,234600,0.317,0.0173,F,0.091,-9.042,Major,0.0255,83.421,4/4,0.266
Country,55,0.7,0.566,239107,0.669,0.0654,A,0.588,-10.081,Major,0.0694,149.702,4/4,0.92
Country,53,0.957,0.501,155160,0.175,0.477,A,0.0912,-11.721,Major,0.0307,105.724,3/4,0.232
Country,54,0.0293,0.356,186400,0.573,0,G,0.0985,-6.692,Major,0.0459,149.199,3/4,0.25
Country,53,0.177,0.655,304693,0.429,0,A#,0.0643,-12.824,Major,0.0289,118.732,4/4,0.528
Country,50,0.157,0.509,275360,0.677,2.07E-6,A,0.108,-3.733,Major,0.0355,96.99,4/4,0.715
Country,51,0.395,0.51,339493,0.393,0,F,0.138,-9.526,Major,0.0364,143.739,4/4,0.269
Country,53,0.366,0.617,412040,0.335,0,A,0.115,-15.914,Minor,0.0301,113.226,4/4,0.655
Country,52,0.948,0.522,239960,0.296,0.619,G,0.105,-10.46,Major,0.0302,67.012,4/4,0.399
Country,52,0.0178,0.326,309227,0.623,0.193,F,0.198,-6.73,Minor,0.0327,122.859,4/4,0.303
Country,52,0.00901,0.529,219800,0.714,6.26E-6,F#,0.0772,-6.315,Major,0.031,120.598,4/4,0.814
Country,50,0.00483,0.508,242160,0.762,1.22E-4,G,0.0403,-5.642,Major,0.0322,124.816,4/4,0.881
Country,54,0.0424,0.538,231640,0.841,0.00178,A,0.312,-7.547,Major,0.0375,93.077,4/4,0.881
Country,52,0.724,0.646,220867,0.362,0,F,0.134,-11.954,Major,0.0312,142.46,3/4,0.387
Country,55,0.806,0.603,268347,0.265,1.65E-6,G#,0.12,-11.627,Major,0.0372,131.188,4/4,0.71
Country,50,0.0695,0.652,241227,0.492,0,C,0.0748,-12.71,Major,0.0324,128.126,4/4,0.837
Country,55,0.0501,0.657,179666,0.571,0,G#,0.32,-6.57,Major,0.0269,120.005,4/4,0.467
Alternative,80,0.0103,0.542,216933,0.853,0,D#,0.108,-6.407,Minor,0.0498,105.256,4/4,0.37
Alternative,72,0.0212,0.7,297587,0.864,0,G,0.0956,-3.629,Major,0.0283,102.997,4/4,0.887
Alternative,71,0.82,0.701,146390,0.529,0.00113,G,0.249,-12.242,Minor,0.147,138.216,4/4,0.577
Alternative,73,0.00832,0.64,268360,0.864,0,G,0.123,-6.576,Major,0.0315,102.026,4/4,0.7
Alternative,75,0.00895,0.316,235893,0.945,1.85E-6,E,0.396,-3.169,Minor,0.124,189.931,4/4,0.32
Alternative,71,0.8,0.809,168418,0.483,0,F,0.221,-6.886,Major,0.0487,96.974,4/4,0.715
Alternative,74,0.711,0.611,240342,0.466,2.64E-4,A,0.0847,-11.361,Major,0.372,192.08,4/4,0.223
Alternative,74,5.96E-5,0.412,250547,0.882,3.1E-4,B,0.0805,-5.54,Minor,0.0369,158.066,4/4,0.356
Alternative,70,1.82E-4,0.505,218920,0.825,9.48E-4,E,0.0855,-5.721,Minor,0.0401,119.987,4/4,0.541
Alternative,71,0.619,0.389,217107,0.476,5.09E-5,A,0.255,-9.342,Major,0.0316,148.117,4/4,0.566
Alternative,74,2.03E-4,0.354,318587,0.825,6.95E-5,F#,0.0758,-5.325,Major,0.0406,105.495,4/4,0.16
Alternative,75,0.00664,0.545,233933,0.865,1.12E-5,B,0.168,-5.708,Minor,0.0286,99.01,4/4,0.543
Alternative,72,0.00817,0.737,231733,0.463,0.447,C,0.255,-7.828,Major,0.0792,123.881,4/4,0.324
Alternative,74,0.0714,0.763,229640,0.807,0.28,C#,0.348,-3.714,Major,0.035,103.038,3/4,0.559
Alternative,71,0.202,0.611,347520,0.799,0.0277,C,0.123,-5.719,Major,0.0641,101.038,4/4,0.51
Alternative,60,0.0159,0.773,259742,0.86,0,G,0.236,-4.966,Major,0.13,126.967,4/4,0.715
Alternative,78,0.0046,0.496,185587,0.863,0,A,0.639,-4.153,Major,0.0381,110.018,4/4,0.243
Alternative,77,2.78E-4,0.419,210240,0.934,0.0015,G,0.132,-3.908,Minor,0.12,127.288,4/4,0.286
Alternative,71,0.0431,0.64,178013,0.957,0,G#,0.0789,-2.336,Major,0.0741,134.992,4/4,0.692
Alternative,74,0.42,0.466,307151,0.548,1.01E-6,F,0.113,-9.362,Minor,0.118,89.815,4/4,0.423
Alternative,70,0.41,0.716,200747,0.35,0.00134,C,0.0927,-11.094,Major,0.0537,129.842,4/4,0.178
Alternative,72,0.0021,0.774,197987,0.75,1.85E-5,B,0.0808,-4.927,Minor,0.0413,118.015,4/4,0.925
Alternative,74,0.178,0.389,193547,0.665,7.32E-4,C,0.116,-6.169,Major,0.0644,117.055,4/4,0.199
Alternative,68,0.00163,0.504,214520,0.891,0.00199,F#,0.148,-5.632,Minor,0.137,153.988,4/4,0.628
Alternative,72,0.669,0.704,301893,0.487,8.64E-5,A,0.111,-6.407,Minor,0.0604,121.726,4/4,0.313
Alternative,74,0.00719,0.654,200307,0.81,0.00251,E,0.165,-6.26,Minor,0.0288,114.623,4/4,0.661
Alternative,72,0.782,0.567,249191,0.388,3.09E-4,A,0.248,-9.579,Minor,0.0384,116.362,4/4,0.452
Alternative,78,0.0021,0.592,329733,0.767,0.00165,A,0.127,-2.788,Minor,0.027,96.483,4/4,0.328
Alternative,69,0.27,0.766,153857,0.402,7.0E-4,C#,0.106,-11.155,Major,0.107,125.107,4/4,0.466
Alternative,75,1.97E-4,0.427,260276,0.944,0.0159,G,0.0625,-2.885,Major,0.0565,101.078,4/4,0.248
Alternative,65,0.0249,0.663,340920,0.694,0,A#,0.0698,-8.627,Minor,0.172,167.964,4/4,0.524
Alternative,67,0.0196,0.484,274160,0.841,1.71E-6,G,0.148,-5.438,Major,0.0291,92.124,4/4,0.304
Alternative,76,4.81E-4,0.589,199907,0.89,8.2E-4,E,0.201,-3.719,Minor,0.0603,90.598,4/4,0.692
Alternative,73,0.874,0.776,210285,0.503,0,C,0.112,-5.732,Minor,0.237,110.134,4/4,0.473
Alternative,72,3.76E-4,0.585,304880,0.887,0.0518,D#,0.132,-5.086,Minor,0.0362,118.035,4/4,0.711
Alternative,75,0.211,0.581,272507,0.817,1.42E-6,C,0.246,-6.542,Major,0.0382,141.607,4/4,0.779
Alternative,75,0.0266,0.466,313573,0.833,0,G,0.0327,-4.215,Major,0.304,88.785,4/4,0.661
Alternative,70,1.72E-4,0.492,285570,0.896,2.78E-6,E,0.189,-5.819,Minor,0.117,184.981,4/4,0.534
Alternative,77,0.0179,0.618,269000,0.938,0,A,0.167,-3.442,Major,0.0456,91.455,4/4,0.875
Alternative,63,0.0217,0.748,233573,0.842,4.24E-6,A#,0.357,-3.107,Major,0.0265,119.023,4/4,0.945
Alternative,70,0.837,0.618,202103,0.217,1.63E-4,A#,0.538,-15.372,Major,0.0515,116.013,4/4,0.0872
Alternative,71,0.468,0.322,248467,0.28,1.1E-6,F#,0.102,-9.367,Minor,0.0281,85.794,4/4,0.175
Alternative,70,0.895,0.787,128888,0.312,0.0224,G,0.115,-12.401,Major,0.0383,119.899,4/4,0.425
Alternative,73,0.67,0.544,184516,0.552,4.57E-5,A,0.415,-7.45,Major,0.0991,159.738,3/4,0.554
Alternative,76,0.127,0.432,335067,0.895,1.16E-5,B,0.141,-3.682,Major,0.0504,104.458,4/4,0.625
Alternative,70,0.00756,0.448,254805,0.826,0,D,0.117,-3.244,Minor,0.0319,77.093,4/4,0.19
Alternative,65,0.0459,0.616,252040,0.91,0,C,0.343,-3.004,Major,0.0386,144.073,4/4,0.693
